summary_date,site,monitor,pm25_davg,name,obs_count,units,basin,county_name,state,latitude,longitude 
2017-02-07,2143,-,6.0,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-08,2143,-,3.6,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-09,2143,-,3.2,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-14,2143,-,10.2,Davis-UCD Campus,21,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-15,2143,-,21.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-16,2143,-,6.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-17,2143,-,9.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-18,2143,-,4.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-19,2143,-,6.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-21,2143,-,5.4,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-22,2143,-,3.6,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-23,2143,-,4.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-24,2143,-,6.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-25,2143,-,4.9,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-26,2143,-,3.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-27,2143,-,3.1,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-02-28,2143,-,4.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-01,2143,-,4.2,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-02,2143,-,8.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-03,2143,-,9.4,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-04,2143,-,3.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-05,2143,-,4.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-06,2143,-,4.5,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-07,2143,-,4.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-08,2143,-,4.1,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-09,2143,-,6.2,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-10,2143,-,4.2,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-11,2143,-,5.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-12,2143,-,4.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-13,2143,-,6.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-14,2143,-,10.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-15,2143,-,6.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-16,2143,-,4.0,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-17,2143,-,7.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-18,2143,-,6.2,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-19,2143,-,4.4,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-20,2143,-,6.3,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-21,2143,-,5.3,Davis-UCD Campus,19,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-22,2143,-,3.8,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-23,2143,-,6.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-24,2143,-,11.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-25,2143,-,10.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-26,2143,-,6.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-27,2143,-,4.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-28,2143,-,3.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-29,2143,-,6.5,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-30,2143,-,9.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-03-31,2143,-,5.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-01,2143,-,6.8,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-02,2143,-,7.0,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-03,2143,-,5.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-04,2143,-,11.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-05,2143,-,7.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-06,2143,-,6.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-07,2143,-,6.5,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-08,2143,-,4.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-09,2143,-,4.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-10,2143,-,4.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-11,2143,-,7.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-12,2143,-,5.8,Davis-UCD Campus,22,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-13,2143,-,5.5,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-14,2143,-,4.6,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-15,2143,-,3.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-16,2143,-,7.7,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-17,2143,-,7.4,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-18,2143,-,5.9,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-19,2143,-,8.3,Davis-UCD Campus,23,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-20,2143,-,6.8,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
2017-04-21,2143,-,6.3,Davis-UCD Campus,24,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),SV,Yolo,CA,38.534722000000002,-121.773611 
