Date	Time	JD	PH_GEO.AH06B.CCO %
4/15/15	13:52:43	2457128.08	15.501578
4/15/15	14:07:43	2457128.09	19.784044
4/15/15	14:22:43	2457128.10	21.864037
4/15/15	14:37:43	2457128.11	22.767466
4/15/15	14:52:43	2457128.12	41.600937
4/15/15	15:07:43	2457128.13	29.647743
4/15/15	15:22:43	2457128.14	29.193558
4/15/15	15:37:43	2457128.15	29.477285
4/15/15	15:52:43	2457128.16	32.828491
4/15/15	16:07:43	2457128.17	79.966873
4/15/15	16:22:43	2457128.18	100
4/15/15	16:37:43	2457128.19	100
4/15/15	16:52:43	2457128.20	22.803854
4/15/15	17:07:43	2457128.21	22.65815
4/15/15	17:22:43	2457128.22	28.747103
4/15/15	17:37:43	2457128.23	26.029461
4/15/15	17:52:43	2457128.24	25.566221
4/15/15	18:07:43	2457128.26	25.110764
4/15/15	18:22:43	2457128.27	24.268326
4/15/15	18:37:43	2457128.28	24.869776
4/15/15	18:52:43	2457128.29	24.198965
4/15/15	19:07:43	2457128.30	24.814505
4/15/15	19:22:43	2457128.31	24.592134
4/15/15	19:37:43	2457128.32	23.591259
4/15/15	19:52:43	2457128.33	23.384638
4/15/15	20:07:43	2457128.34	3.307386
4/15/15	20:22:43	2457128.35	10.429971
4/15/15	20:37:43	2457128.36	12.738997
4/15/15	20:52:43	2457128.37	6.018066
4/15/15	21:07:43	2457128.38	5.337437
4/15/15	21:22:43	2457128.39	9.80835
4/15/15	21:37:43	2457128.40	7.083174
4/15/15	21:52:43	2457128.41	4.882987
4/15/15	22:07:43	2457128.42	0
4/15/15	22:22:43	2457128.43	0
4/15/15	22:37:43	2457128.44	0
4/15/15	22:52:43	2457128.45	0
4/15/15	23:07:43	2457128.46	0
4/15/15	23:22:43	2457128.47	0
4/15/15	23:37:43	2457128.48	0
4/15/15	23:52:43	2457128.49	0
4/16/15	0:07:43	2457128.51	0
4/16/15	0:22:43	2457128.52	0
4/16/15	0:37:43	2457128.53	0
4/16/15	0:52:43	2457128.54	0
4/16/15	1:07:43	2457128.55	0
4/16/15	1:22:43	2457128.56	0
4/16/15	1:37:43	2457128.57	0
4/16/15	1:52:43	2457128.58	0
4/16/15	2:08:38	2457128.59	0
4/16/15	2:23:38	2457128.60	0
4/16/15	2:38:38	2457128.61	0
4/16/15	2:53:38	2457128.62	0
4/16/15	3:08:38	2457128.63	12.56036
4/16/15	3:23:38	2457128.64	53.617771
4/16/15	3:38:38	2457128.65	66.718185
4/16/15	3:53:38	2457128.66	52.515892
4/16/15	4:08:38	2457128.67	28.77714
4/16/15	4:23:38	2457128.68	0
4/16/15	4:38:38	2457128.69	0
4/16/15	4:53:38	2457128.70	0
4/16/15	5:08:38	2457128.71	99.555687
4/16/15	5:23:38	2457128.72	0
4/16/15	5:38:38	2457128.74	71.105042
4/16/15	5:53:38	2457128.75	0
4/16/15	6:08:38	2457128.76	0
4/16/15	6:23:38	2457128.77	99.727478
4/16/15	6:38:38	2457128.78	0
4/16/15	6:53:38	2457128.79	91.766144
4/16/15	7:08:38	2457128.80	0
4/16/15	7:23:38	2457128.81	0
4/16/15	7:38:38	2457128.82	0
4/16/15	7:53:38	2457128.83	0
4/16/15	8:08:38	2457128.84	0
4/16/15	8:23:38	2457128.85	0
4/16/15	8:38:38	2457128.86	0
4/16/15	8:53:38	2457128.87	0
4/16/15	9:08:38	2457128.88	0
4/16/15	9:23:38	2457128.89	0.258876
4/16/15	9:38:38	2457128.90	2.225974
4/16/15	9:53:38	2457128.91	8.771145
4/16/15	10:08:38	2457128.92	10.456543
4/16/15	10:23:38	2457128.93	10.419377
4/16/15	10:38:38	2457128.94	9.581038
4/16/15	10:53:38	2457128.95	20.042856
4/16/15	11:08:38	2457128.96	23.45871
4/16/15	11:23:38	2457128.97	41.912571
4/16/15	11:38:38	2457128.99	32.409008
4/16/15	11:53:38	2457129.00	42.623447
4/16/15	12:08:38	2457129.01	53.780113
4/16/15	12:23:38	2457129.02	57.70647
4/16/15	12:38:38	2457129.03	41.125202
4/16/15	12:53:38	2457129.04	24.733414
4/16/15	13:08:38	2457129.05	32.939777
4/16/15	13:23:38	2457129.06	49.633774
4/16/15	13:38:38	2457129.07	35.578308
4/16/15	13:53:38	2457129.08	37.487438
4/16/15	14:08:38	2457129.09	42.421574
4/16/15	14:23:38	2457129.10	34.850178
4/16/15	14:38:38	2457129.11	18.846207
4/16/15	14:53:38	2457129.12	32.855278
4/16/15	15:08:38	2457129.13	35.377098
4/16/15	15:23:38	2457129.14	22.368114
4/16/15	15:38:38	2457129.15	23.219826
4/16/15	15:53:38	2457129.16	23.287016
4/16/15	16:08:38	2457129.17	41.817577
4/16/15	16:23:38	2457129.18	23.153807
4/16/15	16:38:38	2457129.19	30.929516
4/16/15	16:53:38	2457129.20	32.057598
4/16/15	17:08:38	2457129.21	20.562237
4/16/15	17:23:38	2457129.22	32.531334
4/16/15	17:38:38	2457129.24	23.370125
4/16/15	17:53:38	2457129.25	27.940218
4/16/15	18:08:38	2457129.26	30.06324
4/16/15	18:23:38	2457129.27	23.656532
4/16/15	18:38:38	2457129.28	25.342239
4/16/15	18:53:38	2457129.29	24.720003
4/16/15	19:08:38	2457129.30	23.929682
4/16/15	19:23:38	2457129.31	25.062986
4/16/15	19:38:38	2457129.32	23.578102
4/16/15	19:53:38	2457129.33	21.952957
4/16/15	20:08:38	2457129.34	21.102821
4/16/15	20:23:38	2457129.35	20.695124
4/16/15	20:38:38	2457129.36	20.926548
4/16/15	20:53:38	2457129.37	21.792976
4/16/15	21:08:38	2457129.38	19.641029
4/16/15	21:23:38	2457129.39	7.226694
